,Unnamed: 0,step,type,amount,nameOrig,oldBalanceOrig,newBalanceOrig,nameDest,oldBalanceDest,newBalanceDest,isFraud,isFlaggedFraud,errorBalanceOrig,errorBalanceDest
859873,1960050,178,1,34590.94,C741703516,,,C80130076,3645297.14,3679888.08,0,0,,0.0
2274805,5210785,370,1,137313.47,C529618996,,,C2132552222,658581.78,795895.25,0,0,,0.0
117252,272626,15,1,143894.32,C185899723,3536.0,0.0,C943357658,357066.09,915297.95,0,0,140358.32,-414337.5399999999
2681129,6148148,546,1,150339.42,C901432554,34692.12,0.0,C2142534822,213456.26,363795.68,0,0,115647.30000000002,5.820766091346741e-11
1012017,2293475,187,1,97159.97,C874575717,21153.0,0.0,C1031104470,750416.36,847576.32,0,0,76006.97,0.0100000000093132
119861,278507,15,1,85537.53,C494262027,503604.0,418066.47,C2138736502,-1.0,-1.0,0,0,0.0,85537.53
2760055,6337613,691,1,59116.02,C606333268,280.0,0.0,C318799928,188964.29,248080.31,0,0,58836.02,0.0
1356495,3086766,235,1,134470.33,C881834346,20413.0,0.0,C1679066212,0.0,134470.33,0,0,114057.33,0.0
1473053,3360445,254,1,66376.64,C280538560,,,C1756168340,638981.78,705358.42,0,0,,0.0
2766421,6354137,709,1,324265.8,C1531007315,370.0,0.0,C338065174,238962.97,563228.77,0,0,323895.8,0.0
2624520,6010813,442,1,91101.73,C1754947808,20054.0,0.0,C2021762556,0.0,91101.73,0,0,71047.73,0.0
1779671,4071487,300,1,102576.43,C1674520093,,,C821589628,9544252.41,9646828.83,0,0,,0.0099999997764825
1692196,3863429,283,1,53867.1,C624174488,,,C2034829581,485320.55,539187.65,0,0,,0.0
510996,1169665,132,1,367574.28,C1933156343,,,C884076802,468776.85,836351.13,0,0,,0.0
1040418,2362970,190,1,9321.24,C456254152,,,C478373165,1455286.91,1464608.15,0,0,,0.0
2766950,6355316,709,1,494618.03,C1445367882,8242.0,0.0,C962795508,1381768.5,1876386.53,0,0,486376.03,0.0
312204,708794,37,1,314357.55,C361014265,,,C1764652311,1789050.16,2103407.71,0,0,,0.0
884851,2016711,180,1,216536.57,C2060323098,11220.0,0.0,C1938063930,950829.16,1167365.73,0,0,205316.57,0.0
1815147,4149615,303,1,419723.68,C1364438866,5580.0,0.0,C1668442937,0.0,419723.68,0,0,414143.68,0.0
1471655,3357166,254,1,148800.38,C2091224491,,,C1388365204,4549459.91,4698260.29,0,0,,0.0
2375191,5434778,378,1,358987.53,C1183640905,17827.0,0.0,C1679126795,306027.31,665014.83,0,0,341160.53,0.0100000001257285
527996,1206916,133,1,109090.12,C837435503,,,C1496862315,168020.87,277110.98,0,0,,0.0100000000093132
1072234,2443937,203,1,49698.43,C389988974,,,C831467165,13129148.57,13178847.0,0,0,,0.0
627098,1422289,139,1,191778.93,C1888047943,10074.0,0.0,C602604645,0.0,191778.93,0,0,181704.93,0.0
1547753,3524623,259,1,179951.59,C339498406,49408.0,0.0,C1107259610,3739819.03,3919770.62,0,0,130543.59,-4.656612873077393e-10
1963336,4489333,324,0,1278416.12,C801775169,101075.0,0.0,C319650069,0.0,1278416.12,0,0,1177341.12,0.0
772280,1754739,161,1,187611.3,C1700207212,,,C1150636366,701146.94,888758.24,0,0,,0.0
455536,1033466,93,1,124754.63,C440216425,164429.0,39674.37,C592650100,167154.0,291908.62,0,0,0.0,0.0100000000093132
